"","id","wordcount"
"1","world/2018/jan/09/justin-trudeau-joshua-boyle-hostage-meeting-arrest","591"
"2","world/2018/jan/13/us-canada-trump-trudeau-trade","671"
"3","world/2018/jan/03/joshua-boyle-freed-taliban-hostage-arrested-for-sexual-assault","483"
"4","world/2018/jan/01/archbishop-of-canterbury-new-year-message-compassion-2018","337"
"5","world/2018/jan/15/dementia-towns-japan-ageing-population","1090"
